HeatNo,Fill#1_ScrapName,Fill#1_ScrapWeight,Fill#2_ScrapName,Fill#2_ScrapWeight,Fill#3_ScrapName,Fill#3_ScrapWeight,Fill#4_ScrapName,Fill#4_ScrapWeight,Fill#5_ScrapName,Fill#5_ScrapWeight,Fill#6_ScrapName,Fill#6_ScrapWeight
72336,E6,32100,OCR12VM,10000.0,CRMO OSTRUŽKI,2000.0,,,,,,
72337,E6,0,,,,,,,,,,
72343,E6,32200,OCR12VM,10000.0,CRMO OSTRUŽKI,2000.0,,,,,,
72344,E6,40100,OCR12VM,0.0,CRMO OSTRUŽKI,0.0,,,,,,
72345,OCR12VM,10000,CRMO OSTRUŽKI,2000.0,E6,0.0,,,,,,
72349,E3,42200,,,,,,,,,,
72353,E3,43300,,,,,,,,,,
72354,E6,21600,OCR12VM,20000.0,,,,,,,,
72363,E6,25800,OCR12VM,20000.0,,,,,,,,
72364,E6,25800,OCR12VM,20000.0,,,,,,,,
72372,E6,25500,OCR12VM,20000.0,,,,,,,,
72373,E6,25500,OCR12VM,20000.0,,,,,,,,
72374,E6,23500,OCR12VM,20000.0,,,,,,,,
72375,OCR12VM,20000,E6,0.0,,,,,,,,
72381,E6,24500,OCR12VM,10000.0,UTOPMO2,10000.0,,,,,,
72382,E6,24600,OCR12VM,10000.0,UTOPMO2,10000.0,,,,,,
72383,E6,24600,OCR12VM,10000.0,UTOPMO2,10000.0,,,,,,
72386,E6,24700,OCR12VM,10000.0,UTOPMO2,10000.0,,,,,,
72420,OCR12VM,30000,E6,15900.0,,,,,,,,
72421,OCR12VM,30000,E6,15500.0,,,,,,,,
72429,OCR12VM,30000,E6,15900.0,,,,,,,,
72430,E3,43200,,,,,,,,,,
72437,OCR12VM,25000,E6,20200.0,,,,,,,,
72454,E6,22200,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72471,E3,43900,,,,,,,,,,
72474,E6,22600,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72475,E6,22100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72476,E6,26000,OCR12VM,20000.0,,,,,,,,
72477,E6,26100,OCR12VM,20000.0,,,,,,,,
72480,E6,22300,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72481,E6,22600,OCR12VM,20000.0,,,,,,,,
72494,OCR12VM,45000,OCR12VM OSTRUŽKI,5000.0,E8,1600.0,,,,,,
72509,E3,43500,,,,,,,,,,
72510,OCR12VM,45000,OCR12VM OSTRUŽKI,5000.0,E6,1300.0,,,,,,
72540,E6,21800,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72542,E6,21700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72549,E6,21700,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72550,E6,22000,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72556,E6,20200,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72565,E6,21800,OCR12VM,20000.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72568,OCR12VM,20000,E6,19800.0,OCR12VM OSTRUŽKI,5000.0,,,,,,
72579,E6,20600,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72589,E3,43800,,,,,,,,,,
72590,E3,43400,,,,,,,,,,
72596,E6,20800,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72605,E6,20500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72607,E3,42200,,,,,,,,,,
72608,E6,20600,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72609,OCR12VM,20000,E6,18700.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72610,E6,20400,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72616,E3,40300,,,,,,,,,,
72627,E6,20500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72628,OCR12VM,20000,E6,15500.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72644,E6,21100,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72654,E6,21500,OCR12VM,20000.0,OCR12VM OSTRUŽKI,4000.0,,,,,,
72659,E3,43000,,,,,,,,,,
72677,OCR12VM,20000,E6,19200.0,OCR12VM OSTRUŽKI,3000.0,,,,,,
72690,OCR12VM,20000,E8,10500.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72691,OCR12VM,20000,E8,10900.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
72692,E3,43300,,,,,,,,,,
72702,OCR12VM,20000,E8,10500.0,UTOPMO2,10000.0,OCR12VM OSTRUŽKI,4000.0,,,,
