HeatNo,LFVD_AlBloki,LFVD_AlGran,LFVD_Boksit,LFVD_CaO,LFVD_CaSi,LFVD_CASIfi13,LFVD_Cfi13,LFVD_CoMet,LFVD_Cu,LFVD_EPŽŽlindra,LFVD_FeAl,LFVD_FeB,LFVD_FeBŽica,LFVD_FeCrNit,LFVD_FeCrA,LFVD_FeCrC,LFVD_FeCrCSi,LFVD_FeCrC51,LFVD_FeMnA,LFVD_FeMnC,LFVD_FeMo,LFVD_FeNbTa,LFVD_FeNbTafi13,LFVD_FeS,LFVD_FeSi,LFVD_FeSiZrŽica,LFVD_FeTi,LFVD_FeTifi13,LFVD_FeV,LFVD_FeW72,LFVD_KarboritMleti,LFVD_MnMet,LFVD_NiGran,LFVD_NiKatode,LFVD_NiOksid,LFVD_OdpCu,LFVD_Polymox,LFVD_SŽica,LFVD_SiMet,LFVD_SiMn,LFVD_SLAGMAG65B,LFVD_KarboritZaVpih,LFVD_Ni90,LFVD_AlŽica,LFVD_Molyquick,LFVD_AlOplašèenaŽica,LFVD_BelaŽlindra,LFVD_Kisik,LFVD_KalcijevKarbid,LFVD_WPaketi,LFVD_SintŽlindra
71856,15,0,50,300,0,16.5,5.2,0,0,0,0,0,0,0,0,790,0,0,0,40,290,0,0,0,110,0,0,0,340,0,45,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71864,15,0,50,200,0,16.5,10.3,0,0,0,0,0,0,0,0,600,0,0,0,0,260,0,0,0,140,0,0,0,300,0,0,0,0,0,0,0,0,0.0,0,0,150,0,0,0.0,0,0.0,0,0,0,0,0
71865,10,0,150,300,0,16.5,0.0,0,0,0,0,0,0,0,150,350,0,0,0,40,280,0,0,0,90,0,0,0,270,0,85,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71867,10,0,100,600,0,28.2,17.2,0,0,90,0,0,0,0,0,100,0,0,0,60,360,0,0,0,150,0,0,0,440,0,75,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71870,10,0,80,300,0,16.5,0.0,0,0,0,0,0,0,0,100,400,0,0,0,30,280,0,0,0,70,0,0,0,380,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71876,10,0,80,250,0,16.5,10.3,0,0,0,0,0,0,0,0,80,0,0,0,50,460,0,0,0,100,0,0,0,470,0,0,0,0,0,0,0,0,0.0,0,0,120,0,0,0.0,0,0.0,0,0,0,0,0
71877,15,0,80,300,0,16.5,10.3,0,0,0,0,0,0,0,0,1400,0,0,0,20,360,0,0,0,70,0,0,0,445,0,40,0,0,0,0,0,0,0.0,0,0,80,0,0,0.0,0,0.0,0,0,0,0,0
71878,5,0,80,300,0,16.5,29.2,0,0,0,6,0,0,0,0,1700,0,0,0,20,610,0,0,0,140,0,0,0,490,0,150,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71890,20,0,230,500,0,16.5,0.0,0,0,100,0,0,0,0,0,2000,0,0,0,140,710,0,0,0,130,0,0,0,190,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71891,15,0,80,300,0,16.5,10.3,0,0,0,0,0,0,0,0,1100,0,0,0,70,390,0,0,0,130,0,0,0,460,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71900,10,0,80,200,0,16.5,0.0,0,0,0,0,0,0,0,0,600,0,0,0,70,410,0,0,0,100,0,0,0,460,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71901,15,0,80,200,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,70,440,0,0,0,100,0,0,0,490,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71904,10,0,80,400,0,16.5,25.8,0,0,0,0,0,0,0,0,1030,0,0,0,0,580,0,0,0,130,0,0,0,560,0,150,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71906,15,0,80,200,0,16.5,0.0,0,0,100,0,0,0,0,0,700,0,0,0,50,360,0,0,0,100,0,0,0,420,0,80,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71910,15,0,0,370,0,16.5,0.0,0,0,0,0,0,0,0,0,800,0,0,0,30,240,0,0,0,120,0,0,0,390,0,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71930,10,0,70,350,0,16.5,0.0,0,0,0,0,0,0,0,0,1200,0,0,0,30,340,0,0,0,110,0,0,0,430,0,100,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
71931,10,0,80,350,0,23.5,25.8,0,0,0,0,0,0,0,0,0,0,0,0,0,280,0,0,0,30,0,0,0,380,0,30,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71944,10,0,100,350,0,16.5,17.2,0,0,0,0,0,0,0,0,1400,0,0,0,80,410,0,0,0,130,0,0,0,420,0,55,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71945,10,0,90,350,0,16.5,17.2,0,0,0,0,0,0,0,0,0,0,0,0,70,330,0,0,0,100,0,0,0,450,0,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71951,10,0,150,650,0,23.5,15.5,0,0,0,0,0,0,0,0,100,0,0,0,0,750,0,0,0,0,0,0,0,165,0,175,0,0,0,0,0,0,0.0,0,120,0,0,0,0.0,0,0.0,0,0,0,0,0
71955,8,0,170,300,0,16.5,10.3,0,0,50,0,0,0,0,0,850,0,0,0,60,620,0,0,0,120,0,0,0,550,0,75,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71957,10,0,70,300,0,16.5,34.4,0,0,0,0,0,0,0,0,150,0,0,0,40,370,0,0,0,90,0,0,0,430,0,125,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71959,17,0,100,500,0,16.5,25.8,0,0,100,0,0,0,0,0,1300,0,0,0,60,610,0,0,0,160,0,0,0,570,0,110,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71960,17,0,50,250,0,16.5,0.0,0,0,0,0,0,0,0,0,500,0,0,0,0,300,0,0,0,90,0,0,0,310,0,40,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71963,17,0,100,350,0,16.5,20.6,0,0,100,0,0,0,0,0,950,0,0,0,15,350,0,0,0,140,0,0,0,470,0,150,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71987,15,0,50,350,0,16.5,17.2,0,0,0,0,0,0,0,0,700,0,0,0,60,570,0,0,0,150,0,0,0,540,0,100,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71988,10,0,200,250,0,16.5,20.6,0,0,0,0,0,0,0,0,480,0,0,0,70,590,0,0,0,130,0,0,0,560,0,105,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71989,10,0,0,370,0,16.5,51.6,0,0,0,0,0,0,0,0,640,0,0,0,60,590,0,0,0,120,0,0,0,560,0,25,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71990,19,0,70,250,0,23.5,0.0,0,0,90,0,0,0,0,0,165,0,0,0,50,290,0,0,0,170,0,0,0,390,0,175,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
71991,19,0,80,300,0,23.5,0.0,0,0,0,0,0,0,0,100,600,0,0,0,0,300,0,0,0,110,0,0,0,400,0,125,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
71992,26,0,80,400,0,70.5,0.0,0,0,0,0,0,0,0,0,500,0,0,0,60,190,0,0,0,100,0,0,0,340,0,115,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72025,15,0,50,250,0,16.5,20.6,0,0,100,0,0,0,0,0,150,0,0,0,60,340,0,0,0,120,0,0,0,400,0,95,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72026,15,0,50,250,0,16.5,25.8,0,0,0,0,0,0,0,0,0,0,0,0,60,380,0,0,0,130,0,0,0,425,0,175,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72027,15,0,200,250,0,16.5,0.0,0,0,0,0,0,0,0,0,550,0,0,0,90,320,0,0,0,130,0,0,0,390,0,75,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72033,20,0,120,350,0,16.5,0.0,0,0,0,0,0,0,0,800,1500,0,0,0,80,580,0,0,0,130,0,0,0,550,0,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72034,17,0,100,400,0,16.5,43.0,0,0,0,0,0,0,0,0,1700,0,0,0,70,590,0,0,0,130,0,0,0,530,0,40,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72037,5,0,150,300,0,0.0,0.0,0,0,0,0,0,0,0,150,0,0,0,0,50,130,0,0,0,150,0,0,0,210,0,340,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72040,10,0,150,300,0,16.5,8.6,0,0,0,0,0,0,0,0,450,0,0,0,70,80,0,0,0,130,0,0,0,300,0,180,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
72072,21,0,100,400,0,23.5,8.6,0,0,0,0,0,0,0,0,350,0,0,0,0,250,0,0,0,130,0,0,0,410,0,210,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72073,19,0,70,300,0,23.5,10.3,0,0,90,0,0,0,0,0,220,0,0,0,30,340,0,0,0,30,0,0,0,380,0,25,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72074,14,0,70,400,0,16.5,20.6,0,0,0,0,0,0,0,0,70,0,0,0,40,370,0,0,0,140,0,0,0,310,0,80,0,0,0,0,0,0,0.0,0,0,300,0,0,0.0,0,0.0,0,0,0,0,0
72093,10,0,50,250,0,16.5,25.8,0,0,0,0,0,0,0,0,1200,0,0,0,0,500,0,0,0,70,0,0,0,460,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72094,20,0,50,320,0,16.5,17.2,0,0,100,0,0,0,0,0,0,0,0,0,30,580,0,0,0,170,0,0,0,310,0,0,0,0,0,0,0,0,0.0,0,0,70,0,0,0.0,0,0.0,0,0,0,0,0
72109,17,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,500,0,100,350,0,0,0,140,0,0,0,380,0,150,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72110,20,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,600,0,70,350,0,0,0,60,0,0,0,430,0,130,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72112,37,0,50,650,0,63.5,25.8,0,0,90,0,0,0,0,0,0,0,0,0,30,335,0,0,0,140,0,0,0,325,0,185,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72113,22,0,80,550,0,23.5,25.8,0,0,100,0,0,0,0,0,400,0,0,0,50,280,0,0,0,80,0,0,0,490,0,75,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72114,17,0,80,500,0,16.5,0.0,0,0,0,0,0,0,0,0,700,0,0,0,0,285,0,0,0,40,0,0,0,460,0,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72120,12,0,80,400,0,35.3,29.2,0,0,0,0,0,0,0,120,900,0,0,0,60,330,0,0,0,50,0,0,0,450,0,50,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72121,15,0,80,450,0,23.5,0.0,0,0,0,0,0,0,0,0,600,0,0,0,70,355,0,0,0,90,0,0,0,455,0,25,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
72134,10,0,50,300,0,23.5,17.2,0,0,0,0,0,0,0,0,800,0,0,0,70,350,0,0,0,130,0,0,0,410,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72136,15,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,420,0,0,0,70,0,0,0,450,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72137,15,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,500,0,0,0,60,280,0,0,0,130,0,0,0,435,0,85,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72138,15,0,50,300,0,16.5,0.0,0,0,100,0,0,0,0,0,400,0,0,0,60,410,0,0,0,130,0,0,0,450,0,135,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72155,10,0,100,350,0,16.5,0.0,0,0,0,0,0,0,0,200,200,0,0,0,40,410,0,0,0,130,0,0,0,430,0,80,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72157,15,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,400,0,0,0,70,330,0,0,0,120,0,0,0,395,0,80,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72199,15,0,120,500,0,23.5,0.0,0,0,0,0,0,0,0,0,1200,0,0,0,100,585,0,0,0,80,0,0,0,550,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72206,10,0,100,400,0,23.5,17.2,0,0,100,0,0,0,0,0,1650,0,0,0,50,570,0,0,0,140,0,0,0,610,0,65,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72212,10,0,70,400,0,23.5,0.0,0,0,0,0,0,0,0,0,40,0,0,0,30,300,0,0,0,30,0,0,0,435,0,115,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72216,12,0,70,400,0,35.3,25.8,0,0,110,0,0,0,0,0,500,0,0,0,40,390,0,0,0,80,0,0,0,450,0,105,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72217,10,0,60,250,0,23.5,17.2,0,0,0,0,0,0,0,0,500,0,0,0,60,405,0,0,0,90,0,0,0,445,0,50,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72218,10,0,60,250,0,23.5,0.0,0,0,90,0,0,0,0,0,400,0,0,0,50,370,0,0,0,30,0,0,0,395,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72224,18,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,200,0,0,0,30,290,0,0,0,100,0,0,0,375,0,30,0,0,0,0,0,0,0.0,0,0,80,0,0,0.0,0,0.0,0,0,0,0,0
72225,13,0,200,350,0,16.5,0.0,0,0,150,0,0,0,0,0,250,0,0,0,0,300,0,0,0,80,0,0,0,395,0,50,0,0,0,0,0,0,0.0,0,70,130,0,0,0.0,0,0.0,0,0,0,0,0
72236,12,0,70,300,0,16.5,8.6,0,0,100,0,0,0,0,0,1080,0,0,0,60,560,0,0,0,170,0,0,0,575,0,75,0,0,0,0,0,0,0.0,0,0,70,0,0,0.0,0,0.0,0,0,0,0,0
72237,10,0,120,700,0,23.5,25.8,0,0,140,0,0,0,0,200,1420,0,0,0,100,570,0,0,0,180,0,0,0,585,0,100,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72238,5,0,200,600,0,16.5,0.0,0,0,100,0,0,0,0,0,260,0,0,0,70,560,0,0,0,120,0,0,0,540,0,115,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72240,15,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,1000,0,0,0,50,570,0,0,0,170,0,0,0,560,0,75,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72241,10,0,100,200,0,16.5,15.5,0,0,0,0,0,0,0,0,100,0,0,0,70,370,0,0,0,100,0,0,0,420,0,60,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72244,10,0,70,300,0,35.3,25.8,0,0,0,0,0,0,0,0,950,0,0,0,30,325,0,0,0,60,0,0,0,430,0,50,0,0,0,0,0,0,0.0,0,0,120,0,0,0.0,0,0.0,0,0,0,0,0
72245,10,0,60,250,0,35.3,34.4,0,0,90,0,0,0,0,100,350,0,0,0,30,330,0,0,0,80,0,0,0,395,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72246,15,0,60,250,0,35.3,25.8,0,0,0,0,0,0,0,0,150,0,0,0,30,315,0,0,0,80,0,0,0,370,0,70,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72279,15,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,1320,0,0,0,50,370,0,0,0,140,0,0,0,415,0,40,0,0,0,0,0,0,0.0,0,0,130,0,0,0.0,0,0.0,0,0,0,0,0
72281,15,0,50,350,0,16.5,0.0,0,0,90,0,0,0,0,0,700,0,0,0,40,360,0,0,0,60,0,0,0,425,0,60,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72285,10,0,200,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,400,0,0,0,50,0,0,0,450,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72289,10,0,70,350,0,23.5,10.3,0,0,0,0,0,0,0,1000,0,0,0,0,0,330,0,0,0,90,0,0,0,410,0,0,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72307,8,0,170,350,0,0.0,0.0,0,0,0,0,0,0,0,0,1150,0,0,0,60,420,0,0,0,70,0,0,0,470,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0
72308,8,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,570,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0.0,0,60,80,0,0,0.0,0,0.0,0,0,0,0,0
72314,10,0,70,300,0,23.5,17.2,0,0,0,0,0,0,0,0,1130,0,0,0,0,470,0,0,0,90,0,0,0,540,0,40,0,0,0,0,0,0,0.0,0,0,100,0,0,0.0,0,0.0,0,0,0,0,0
72315,13,0,70,300,0,16.5,17.2,0,0,100,0,0,0,0,0,0,0,0,0,0,500,0,0,0,30,0,0,0,500,0,40,0,0,0,0,0,0,0.0,0,0,80,0,0,0.0,0,0.0,0,0,0,0,0
72319,10,0,200,350,0,16.5,5.2,0,0,0,0,0,0,0,0,850,0,0,0,30,470,0,0,0,70,0,0,0,490,0,0,0,0,0,0,0,0,0.0,0,0,120,0,0,0.0,0,0.0,0,0,0,0,0
72320,10,0,150,300,0,16.5,0.0,0,0,150,0,0,0,0,0,1300,0,0,0,0,480,0,0,0,60,0,0,0,480,0,30,0,0,0,0,0,0,0.0,0,0,80,0,0,0.0,0,0.0,0,0,0,0,0
72323,10,0,90,350,0,23.5,17.2,0,0,0,0,0,0,0,0,650,0,0,0,0,485,0,0,0,20,0,0,0,520,0,65,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
72337,10,0,50,300,0,16.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,30,580,0,0,0,0,0,0,0,450,0,20,0,0,0,0,0,0,0.0,0,0,130,0,0,0.0,0,0.0,0,0,0,0,0
72343,10,0,80,350,0,16.5,0.0,0,0,0,0,0,0,0,0,300,0,0,0,30,540,0,0,0,40,0,0,0,480,0,85,0,0,0,0,0,0,0.0,0,0,50,0,0,0.0,0,0.0,0,0,0,0,0
72344,15,0,100,300,0,16.5,0.0,0,0,0,0,0,0,0,0,1200,0,0,0,60,650,0,0,0,80,0,0,0,580,0,15,0,0,0,0,0,0,0.0,0,0,70,0,0,0.0,0,0.0,0,0,0,0,0
