HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
85038,1142,1060
85062,1009,690
85085,1105,950
85102,1926,540
85103,2027,570
85104,1345,650
85105,1309,900
85106,728,890
85121,2609,730
85143,1827,880
85144,2488,1160
85145,1513,470
85169,1519,470
85188,826,590
85206,962,880
85207,1248,830
85208,1332,500
85209,1176,740
85231,1619,850
85234,1013,850
85235,2762,1110
85236,1522,1080
85255,947,590
85261,898,980
85291,989,810
85292,1264,850
85297,793,540
85298,847,590
85316,1362,620
85321,583,870
85329,1405,600
85337,1027,790
85338,1429,880
85344,799,740
85345,1123,900
85346,958,770
85356,1436,990
85357,835,820
85365,2320,870
85366,1365,890
85367,2191,1030
85369,1655,800
85383,1302,740
85384,734,740
85389,2555,900
85401,1254,860
85415,1519,750
85430,826,830
85432,1627,895
85433,983,660
85443,1790,630
85444,1623,1140
85460,784,840
85461,1802,940
85476,1857,630
85477,1151,770
85478,442,870
85479,963,720
85483,2361,750
85487,851,1020
85488,2238,990
85511,1452,700
85530,1490,860
85538,1229,880
85556,655,610
85557,1658,570
85560,2018,820
85565,2660,840
85578,1228,590
85579,1396,900
85584,1413,680
85585,640,540
85594,2354,600
85595,1856,590
85609,1102,610
85623,1922,630
85634,1871,610
85637,1487,640
85638,1621,720
85639,769,700
85643,2040,1100
85666,1276,760
85671,604,830
85680,2433,980
85685,812,570
85686,2350,890
85688,2161,670
85692,2098,1040
85708,1488,1010
85713,1481,1030
85714,779,850
85748,1775,630
85764,1028,810
85765,1250,840
85780,1197,810
85781,1286,870
85782,1345,870
85783,3336,780
85804,743,620
85805,852,620
85822,971,1030
85825,1804,480
85826,2540,895
85845,806,580
85848,1507,690
85849,1517,740
85876,2092,850
85877,1511,800
85884,2031,710
85892,1190,960
85893,1204,450
85895,1092,600
85909,2060,850
85910,997,580
85924,1349,520
85960,1580,880
85966,1551,670
85967,1398,575
86002,2015,880
86003,1016,930
86011,748,920
86025,1573,580
86040,679,620
86041,1358,710
86057,939,870
86062,1553,1040
86096,2517,830
86097,1573,830
86098,1497,830
86104,1460,680
86110,1802,880
86116,911,790
86117,1101,620
86118,1046,790
86119,1217,530
86127,1428,620
86128,1478,670
86131,1719,880
86149,1699,880
86153,2216,580
86157,888,300
86158,922,790
86161,1604,860
86168,1194,600
86178,3646,870
86179,1266,1040
86188,882,880
86189,2232,900
86207,1447,880
86216,588,720
86229,1596,560
86230,1560,800
86231,1150,880
86254,2078,910
86256,1653,620
86257,763,620
86258,1587,470
86273,1690,770
86274,593,1400
86275,659,680
86294,826,680
86297,1173,1220
86298,1646,820
86299,876,470
86307,1613,630
86308,928,870
86309,1618,780
86310,1235,680
86311,1387,620
86337,1469,850
86338,1741,870
86339,2305,830
86349,964,600
86357,2419,530
86373,1377,580
86385,1612,830
86386,1338,690
86398,2166,870
86399,1469,630
86422,1321,680
86440,1131,870
86441,1959,770
86442,925,880
86443,915,650
86450,827,680
86451,1081,1270
86475,2062,760
86476,941,750
86477,1209,850
86484,1314,660
86487,1523,740
86488,1132,580
86489,1833,900
86490,1626,550
86491,1541,710
86493,1382,920
86504,1495,880
86519,1248,880
86556,943,890
86562,1500,500
86563,1570,500
86565,758,560
86574,1772,820
86578,811,660
86580,519,660
86588,935,770
86598,794,760
86602,1322,620
86603,677,550
86613,981,830
86614,1270,730
86615,1522,620
86616,1079,735
86626,985,1130
86627,1073,970
86632,1442,910
86633,1106,680
86640,1995,770
86641,945,780
86650,1430,1190
86659,1931,920
86660,1128,880
86669,1546,660
86670,1032,920
86671,1416,900
86672,1762,850
86699,1470,890
86706,1182,720
86707,1172,750
86717,1772,1150
86725,874,890
86726,772,900
86727,1384,940
86735,1906,650
86736,1764,880
86737,1759,880
86738,1386,1010
86743,702,690
86744,966,750
86750,1957,570
86774,2781,1080
86775,1971,830
86779,1284,140
86805,2006,590
86806,777,570
86811,1206,830
86812,1151,800
86821,956,680
86831,983,650
86839,1737,1330
86849,1884,940
86854,1411,640
86855,1560,570
86859,2154,800
86860,1967,800
86886,1713,790
86888,1358,850
86912,1228,630
86922,1434,1250
86923,1215,870
86931,1399,910
86948,1515,740
86954,611,860
86957,2790,780
86965,1135,870
86971,1500,650
86972,600,690
86983,1119,690
87001,1912,680
87007,1591,780
87039,2055,620
87040,2243,1550
87041,1418,1250
87053,762,600
87074,1301,400
87075,1507,1000
87093,1933,800
87094,1855,790
87095,1814,835
87096,1106,840
87116,655,820
87119,1241,730
87124,1902,1150
87133,1530,800
87137,1125,600
87138,927,1200
87139,1979,790
87150,666,580
87153,1555,830
87169,1201,600
87170,1382,790
87193,733,850
87194,1063,840
87198,1228,620
87209,1404,530
87210,1004,610
87212,897,680
87217,1627,600
87218,1899,590
87229,2922,650
87231,1496,610
87232,1108,620
87250,1741,760
87259,2288,550
87260,2392,800
87261,2496,720
87264,1749,660
87265,875,700
87266,1635,730
87281,874,540
87310,1009,580
87321,923,780
87330,1731,660
87352,1085,580
87360,815,810
87362,1960,550
87374,1285,590
87381,1506,650
87382,518,720
87389,1680,595
87396,1274,670
87397,1520,940
87398,871,800
87409,1461,270
87418,1588,690
87419,1256,550
87429,1455,830
87430,879,1290
87431,968,640
87438,864,730
87445,1343,780
87446,1068,730
87447,2556,730
87457,2147,1120
87461,1704,650
87471,1522,690
87472,1686,600
87489,1173,680
87490,988,600
87491,1088,1150
87492,1539,630
87510,1982,780
87511,2312,640
87524,1641,820
87539,1254,610
87540,1202,930
87544,1636,690
87554,2486,780
87573,1028,1120
87574,2039,880
87575,981,630
87577,1705,570
87584,2815,900
87585,388,880
87594,1063,720
87604,1517,970
87623,638,650
87624,514,790
87626,1079,750
87636,949,700
87637,1819,730
87638,2563,810
87654,1060,840
87661,1857,480
87669,2293,810
87670,2177,760
87671,903,680
87679,1331,890
87680,1105,850
87691,1265,670
87719,2300,900
87720,1183,600
87735,3075,940
87736,671,880
87737,1114,650
87744,1266,600
87745,1010,1190
87751,1190,780
87754,2244,850
87758,1880,740
87780,1246,630
87781,951,890
87782,783,810
87812,765,690
87817,1246,770
87827,805,680
87828,1012,830
87833,1519,730
87884,2643,330
87894,1951,870
87901,1778,750
87903,1145,600
87922,2446,680
87987,846,710
88013,2335,790
88023,1569,790
88035,1695,760
88057,1747,840
88075,1317,820
88076,1698,700
88082,2123,770
88083,432,840
88084,534,770
88085,495,1000
88115,1423,660
88143,2658,750
88155,1211,890
88172,612,610
88173,1356,810
88188,1457,990
88207,679,630
88210,738,750
88211,1640,730
88237,1185,580
88238,2108,580
88266,2265,880
88267,1454,680
88289,1951,1130
88290,1216,810
88342,983,870
88343,1563,790
88351,1043,780
88352,1360,580
88367,1515,740
88368,788,900
88369,846,1050
88376,1457,680
88377,2011,830
88395,2519,870
88396,2079,800
88397,1730,750
88398,2048,650
88409,1783,700
88427,2183,580
88428,1610,720
88459,977,510
88460,1456,500
88461,1146,1460
88473,2174,900
88481,2502,870
88498,1900,665
88499,1294,570
88500,1830,770
88501,866,655
88504,3001,850
88511,2287,820
88517,1761,640
88533,2764,600
88542,1463,740
88557,1289,820
88558,1067,500
88559,859,770
88567,2194,740
88568,2824,750
88569,1763,900
88587,911,580
88589,1647,780
88599,988,750
88600,1145,320
88601,1613,650
88602,1114,540
88603,1514,580
88616,1210,880
88622,1718,790
88623,1735,850
88627,1036,860
88657,1845,770
88658,739,730
88659,2209,650
88660,1309,580
88665,1651,880
88683,1266,880
88684,984,700
88689,1117,1040
88703,4969,900
88708,1837,660
88709,876,780
88725,1711,980
88730,2067,1050
88735,1940,800
88740,1736,580
88741,1336,730
88742,1054,790
88743,1897,710
88749,1563,850
88750,1195,830
88751,1812,610
88752,2798,650
88762,3445,670
88765,1233,580
88766,862,600
88788,1655,750
88789,1012,900
88790,657,800
88791,806,650
88796,1067,550
88804,1632,580
88805,1223,730
88823,455,955
88824,989,980
88834,1231,830
88844,1218,680
88866,2161,775
88897,1814,930
88903,2171,860
88904,861,600
88929,2515,550
88937,1152,580
88948,1965,760
88949,1563,320
88952,2129,1300
88953,2061,1400
88955,1288,780
88966,1892,420
88968,1649,630
88976,1945,650
88977,951,520
88992,865,980
88994,801,990
89001,2003,580
89002,793,640
89006,1036,840
89007,863,800
89027,845,870
89029,2062,690
89039,1080,710
89044,1587,730
89063,1679,800
89064,1052,790
89074,931,1110
89075,1109,920
89106,1856,870
89107,1380,910
89114,1163,770
89115,837,800
89116,2330,880
89117,579,1000
89124,1584,600
89143,2389,530
89144,1806,720
89158,2002,850
89160,1839,670
89161,1932,1580
89162,936,670
89164,1798,790
89177,940,240
89199,2111,750
89210,1151,590
89216,1239,970
89217,1032,670
89219,629,770
89249,1373,1020
89250,1270,920
89251,787,660
89252,1939,770
89253,1517,810
89260,1292,705
89270,1585,930
89289,1055,1290
89325,2351,920
89326,2031,630
89333,2384,670
89343,1887,600
89347,2220,740
89350,1874,900
89367,965,720
89368,1354,790
89379,1362,1020
89388,1358,920
89389,1738,860
89410,1610,970
89411,902,650
89423,2359,1000
89424,990,820
89427,1037,750
89432,1647,1050
89433,1768,880
89434,1283,870
89436,2700,655
89452,2079,470
89454,1024,420
89455,1623,920
89456,1491,680
89457,1777,560
89480,1467,50
89481,1767,740
89488,2414,690
89489,1617,550
89490,1544,905
89491,1369,1470
89519,1996,690
89521,1144,1090
89537,1996,710
89538,1636,780
89549,1256,370
89550,2083,430
89551,2444,1520
89565,1013,870
89566,1586,880
89569,1007,920
89570,1021,620
89571,1411,980
89597,839,780
89609,1763,1250
89624,2001,1380
89625,2449,1260
89636,1948,980
89638,1540,800
89639,1386,730
89640,1934,610
89647,1772,620
89669,1130,650
89670,1547,1640
89691,1451,630
89692,838,1470
89704,2293,1100
89716,1041,890
89720,1727,760
89721,1823,760
89728,1264,550
89729,1474,420
89737,1200,480
89738,2497,1770
89748,1022,600
89755,1731,950
89756,2232,1030
89764,1192,940
89765,473,1320
89774,1104,970
89781,1235,860
89782,1122,630
89792,1061,830
89804,1520,1270
89812,1724,540
89813,848,1030
89827,2043,1030
89839,1949,670
89840,1518,750
89854,1184,470
89855,2229,770
89856,560,1190
89857,1223,870
89858,1204,920
89862,1765,770
89863,1575,670
89883,1373,600
89884,2204,600
89886,1829,1180
89914,1983,610
89915,1326,470
89919,2303,750
89920,1094,750
89922,1172,640
89923,702,1130
89924,633,430
89941,2023,430
89944,1737,870
89945,2115,740
89968,2910,900
89981,973,600
89989,1440,1405
89990,2082,1080
89997,1876,925
89999,1851,820
90016,1519,410
90018,2078,910
90022,1725,520
90023,2943,910
90029,1840,840
90045,1723,810
90054,1523,270
90071,1161,740
90072,772,390
90073,1087,840
90076,1571,750
90077,1569,550
90083,1338,640
90084,1052,850
90085,1033,790
90086,1338,590
90092,1762,650
90093,1402,530
90094,989,640
90095,1068,940
90096,1241,860
90130,2094,780
90155,1141,640
90156,999,430
90162,1988,630
90163,2140,800
90164,954,800
90167,1035,670
90178,1701,570
90209,2041,530
90239,1424,1200
90241,1516,730
90244,1824,430
90245,726,350
90261,2567,770
90266,2792,540
90267,1952,930
90268,2344,630
90284,1373,790
90285,1765,750
90294,2184,650
90295,812,790
90304,2341,840
90313,2090,950
90314,628,1050
90321,2972,920
90322,1660,720
90326,935,580
90345,2275,1190
90346,1638,640
90347,1676,910
90348,1304,520
90349,853,470
90359,1428,840
90360,1395,650
90398,718,670
90420,2366,560
90421,609,550
90422,1814,420
90447,2648,1270
90458,2944,1020
90463,2314,1020
90464,567,1150
90470,901,930
90471,1075,620
90472,2258,730
90473,814,600
90480,1641,500
90487,1690,1010
90488,2012,775
90495,1465,800
90527,1909,550
90528,1192,680
90543,2341,620
90558,2326,910
90559,1075,940
90569,2159,990
90570,1303,485
90572,2444,530
90573,1552,780
90586,1725,660
90599,4320,1250
90606,697,820
90636,2612,1210
90644,1124,900
90645,1526,755
90657,2393,1020
90658,1906,660
90666,2266,800
90674,1434,590
90686,1439,850
90687,2965,1330
90703,1994,870
90713,2611,1160
90714,1340,500
90715,1145,760
90736,1674,910
90737,1105,790
90738,631,1030
90753,1635,780
90754,1811,900
90764,1118,580
90802,1865,950
90803,625,1150
90804,1712,890
90827,2147,550
90828,1487,790
90829,961,900
90830,1865,790
90845,1670,820
90859,2389,1070
90862,790,570
90863,1155,770
90895,1461,870
90896,1247,480
90903,1222,820
90904,1073,780
90917,1894,780
90918,1091,550
90935,2173,700
90940,1992,880
90959,1563,590
90960,740,720
90984,1305,720
90985,1762,700
90993,685,920
90994,1243,780
90997,2203,450
91024,2035,830
91025,1958,920
91031,2109,500
91033,1433,1040
91056,1773,900
91057,1646,960
91066,1208,970
91089,2000,680
91090,775,750
91107,1947,600
91108,677,870
91114,615,890
91115,1889,490
91116,1224,810
91117,1572,1470
91120,2485,650
91152,1319,780
91153,2624,650
91154,1813,720
91155,1404,600
91170,1060,530
91179,1287,800
91189,1094,920
91214,1190,570
91219,1522,820
91220,1948,860
91221,2108,420
91244,2073,610
91271,1486,800
91297,1979,680
91298,1830,740
91322,2330,840
91330,2135,560
91331,1325,610
91332,1110,610
91362,1660,600
91364,2052,670
91365,1955,800
91401,1742,570
91418,1296,580
91420,1193,580
91421,928,400
91422,1513,520
91438,1386,720
91439,1899,830
91460,1501,550
91461,1559,1010
91470,1430,520
91481,1205,520
91482,1811,550
91503,1460,1290
91505,2244,700
91506,1595,900
91511,1302,360
91512,2151,700
91516,2927,1240
91524,1002,850
91525,1234,460
91531,1300,1050
91533,1384,750
91544,1494,670
91545,1849,530
91546,1390,530
91547,2558,840
91593,2463,890
91594,2042,730
91595,2048,670
91611,1286,470
91624,1795,530
91657,1878,750
91658,1631,990
91667,2546,800
91668,1821,770
91723,1861,590
91736,2151,880
91740,2183,970
91746,1187,380
91749,1532,670
91750,2442,780
91751,1943,1100
91752,2026,1000
91769,1058,955
91808,1980,570
91828,2719,760
91829,1431,1480
91838,2493,890
91839,1922,780
91844,1402,770
91871,1521,430
91872,1020,500
91873,1710,860
91888,2283,610
91889,1631,1180
91890,1286,730
91897,1222,970
91903,2583,620
91908,1369,1450
91909,3274,830
91916,2792,850
91935,2604,1340
91936,2710,940
91937,919,870
91964,2339,830
91965,2598,730
91966,1678,420
91975,1512,560
91985,1306,910
91986,2228,600
91998,2285,550
91999,1828,535
92008,2176,620
92009,1616,550
92018,1948,610
92019,983,560
92020,871,570
92027,1096,830
92040,1894,880
92047,1769,600
92048,1112,750
92083,2180,1035
92087,1545,780
92119,1606,770
92120,784,780
92121,1487,730
92135,1836,740
92140,1023,740
92141,1904,750
92142,1265,920
92181,2884,910
92194,2153,740
92195,1718,1500
92205,2141,600
92206,2902,1100
92207,2005,980
92208,1627,850
92218,2005,690
92219,1707,520
92237,2365,1240
92238,2461,1200
92239,3295,1310
92254,1427,910
92262,1404,980
92263,1326,1150
92264,1589,1170
92271,1686,380
92272,2008,1200
92273,2213,1350
92292,1617,1000
92313,3256,1050
92331,1730,820
92332,1654,940
92339,2511,860
92347,926,700
92348,1275,750
92355,1621,350
92356,1256,920
92377,1173,990
92378,952,440
92379,1738,1230
92382,1715,650
92398,893,620
92400,851,1400
92424,987,820
92425,1352,750
92426,1262,900
92427,1023,530
92428,1844,850
92429,767,830
92438,2647,820
92439,2001,935
92440,1441,1050
92446,1417,860
92461,1426,830
92484,1417,1530
92485,1315,440
92486,2097,1080
92487,1555,730
92500,1686,750
92501,1371,550
92510,1240,1090
92511,852,670
92512,1362,990
92519,963,950
92532,1502,1220
92533,1921,1120
92541,2765,855
92542,1452,1360
92547,1894,710
92548,1558,850
92553,1259,710
92555,1389,960
92556,1216,610
92578,1696,765
92579,1784,980
92580,1826,800
92589,2507,730
92603,1010,700
92619,1680,955
92621,1803,710
92622,1336,580
92628,2515,830
92671,1854,900
92672,1298,1180
92674,1525,620
92682,843,520
92683,998,1000
92704,1322,820
92712,1505,670
92748,1095,600
92753,1562,840
92754,2200,900
92770,816,780
92771,1192,800
92772,2201,840
92778,1739,630
92794,2734,790
92795,927,1200
92803,2209,950
92804,801,770
92805,2116,770
92806,1455,930
92809,1314,860
92810,1367,710
92820,1892,980
92821,2494,1270
92822,1538,600
92843,2145,830
92845,2114,870
92846,2531,550
92870,1276,870
92871,1743,800
92881,346,580
92882,1159,530
92883,1339,750
92903,524,750
92915,959,805
92916,2578,780
92919,1974,680
92927,963,770
92928,1772,830
92929,1301,600
92930,1376,620
92948,1932,710
92949,2183,840
92954,2056,910
92955,794,725
92968,1628,470
92969,1508,810
92971,1975,860
92984,1810,940
92985,1168,740
92998,2558,700
92999,1626,750
93000,2050,790
93001,2105,850
93002,2142,700
93055,1632,680
93056,1828,700
93057,1934,970
93074,1463,450
93075,2085,930
93084,2880,730
93085,1928,830
93094,1241,675
93095,1587,685
93096,2113,640
93115,1354,1120
93116,1854,1100
93133,1473,985
93137,1186,635
93151,2207,530
93152,1118,520
93153,1556,770
93167,1012,665
93174,1350,1080
93175,900,910
93196,1550,640
93197,867,680
93201,701,1210
93202,2088,620
93207,1470,1150
93228,1192,700
93229,1074,1140
93237,1405,1100
93241,1756,780
93242,647,940
93247,1136,720
93271,1589,630
93281,1699,1510
93282,768,1250
93291,2586,1350
93299,1078,880
93300,1225,1035
93313,2012,640
93314,985,550
93332,1345,880
93333,1408,540
93334,2183,590
93346,3390,850
93354,1434,850
93355,1199,650
93356,1884,680
93360,1157,670
93361,1451,1020
93362,1225,670
93363,1009,700
93364,1576,1065
93365,1130,960
93383,1781,550
93384,2045,650
93389,1745,810
93390,1680,850
93409,1754,1210
93428,1667,830
93429,1799,730
93431,2365,1110
93441,1837,1100
93442,1573,1120
93443,1692,1170
93444,803,1630
93445,2448,990
93450,1787,890
93451,1025,1000
93452,1303,950
93458,1254,1150
93476,1266,990
93477,595,660
93478,1102,890
93479,1623,670
93485,994,1040
93492,1431,830
93506,1099,880
93507,1474,580
93508,1568,850
93516,2114,710
93517,2477,960
93527,1661,900
93528,2511,500
93529,2218,750
93536,2035,770
93537,1609,950
93566,2594,1280
93567,1146,890
93582,2902,1050
93583,1579,580
93591,2465,1265
93592,1353,1235
93601,1774,950
93616,1833,1000
93617,1091,695
93628,2323,1340
93629,701,1240
93642,1837,730
93659,1638,530
93660,2681,535
93661,782,790
93705,2322,640
93706,2724,900
93709,1612,530
93710,1342,730
93725,951,550
93741,2072,1710
93750,2058,600
93751,1091,920
93758,1467,700
93759,1331,400
93768,1589,1390
93784,2091,410
93785,1841,870
93786,1801,1480
93792,2764,420
93793,856,580
93822,1374,570
93828,2038,450
93829,1768,680
93830,2217,700
93840,1287,460
93849,1138,750
93850,2709,1560
93859,2438,550
93869,920,700
93870,1769,500
93871,1617,1010
93872,1628,720
93873,1472,770
93881,1487,650
93882,1946,950
93910,990,400
93911,1820,1060
93912,1420,950
93913,1179,520
93914,2139,1020
93915,1436,1320
93923,1192,920
93938,1736,1640
93939,1804,1050
94011,1746,520
94012,1329,550
94013,1908,1120
94016,1993,930
94033,1555,630
94034,1495,830
94035,618,660
94044,1157,700
94055,1533,1430
94062,1624,750
94069,1751,940
94070,1807,1360
94086,2102,970
94099,2475,520
94100,2281,505
94106,1743,500
94107,1878,720
94118,1394,1000
94127,1521,760
94128,1418,815
94129,1393,920
94130,1217,670
94146,1464,1050
94147,1543,435
94148,1802,1200
94156,1586,560
94163,1891,590
94164,1254,900
94165,2125,690
94184,701,850
94201,1184,480
94202,1294,770
94229,730,700
94230,1729,600
94231,716,430
94232,1719,540
94233,1180,660
94234,2107,1045
94239,1174,710
94268,1137,730
94269,1591,710
94280,1523,720
94281,753,1120
94282,1091,830
94283,1415,750
94284,1418,540
94290,931,570
94291,1368,770
94300,1161,770
94311,1704,1250
94312,786,700
94321,3015,1850
94334,1161,720
94335,1812,1340
94336,883,1200
94337,1448,1130
94338,1151,1770
94339,2701,650
94340,1733,820
94346,915,1150
94384,1811,660
94385,1749,750
94397,2154,500
94398,636,600
94399,998,500
94400,826,780
94407,2061,700
94418,1399,800
94419,847,700
94433,1902,600
94434,1455,670
94435,1377,750
94451,1500,620
94456,1506,400
94457,1334,400
94470,1177,440
94471,1840,1520
94472,1960,1100
94490,1866,940
94491,1843,800
94492,2336,1020
94497,1252,550
94502,2718,800
94518,687,1050
94519,1587,890
94520,1999,835
94521,2686,710
94522,1256,900
94523,598,1210
94533,2681,980
94536,1600,640
94537,1239,670
94551,1796,680
94569,2403,1090
94574,2622,470
94576,1308,530
94582,2267,500
94586,1392,700
94587,1364,880
94588,1689,1010
94589,1229,865
94590,1060,1100
94621,1234,670
94628,1104,680
94635,1701,790
94636,992,600
94637,1483,600
94638,1770,1350
94675,1955,1060
94676,1099,1070
94677,1476,490
94678,2078,620
94687,1071,530
94695,1033,585
94696,2195,800
94755,2206,550
94756,2154,970
94766,1859,600
94775,1260,1230
94776,1075,650
94777,1473,690
94803,1471,640
94804,1417,360
94812,1442,790
94813,1725,470
94816,1322,460
94817,2108,740
94818,1225,730
94819,1148,580
94836,1858,620
94868,1443,750
94869,1637,450
94870,1892,1050
94871,1037,840
94877,1703,980
94901,2603,700
94927,500,450
94928,669,550
94929,1372,700
94939,1314,935
94940,1573,800
94941,925,400
94958,1019,630
94959,2164,450
94960,1844,600
94961,1621,1100
94976,1900,940
94977,1368,790
94992,1172,700
94993,1428,760
94999,1554,940
95000,1187,720
95001,1910,490
95023,1861,660
95031,1015,970
95032,2009,850
95033,1280,720
95038,2254,950
95039,1196,550
95040,729,600
95041,668,1230
95045,1694,850
95050,1350,920
95061,1405,620
95073,2116,610
95074,875,550
95075,1831,640
95078,1531,810
95079,2096,600
95080,1170,1230
95126,1958,660
95127,1457,600
95128,1853,620
95135,942,630
95136,1026,440
95137,829,630
95149,3364,930
95150,1896,400
95151,2658,980
95173,1006,700
95176,1320,440
95198,1009,470
95202,1487,910
95203,787,950
95205,1517,820
95213,725,540
95214,1344,455
95220,1600,800
95221,1103,750
95228,1085,670
95229,1718,580
95230,907,460
95248,2016,670
95249,528,500
95250,820,930
95265,1219,690
95266,1234,1200
95267,1974,580
95280,1804,575
95294,1233,1480
95302,2088,1370
95303,858,535
95307,2495,480
95317,1701,1360
95318,1120,770
95326,1568,590
95345,1636,420
95354,1506,430
95355,2413,450
95364,1588,480
95383,1499,1120
95391,1501,680
95392,1203,1200
95393,2038,460
95414,1460,650
95415,1273,820
95418,2004,850
95419,1771,730
95420,908,700
95421,786,490
95443,1906,1155
95444,1388,525
95445,1244,570
95446,553,630
95466,1280,575
95467,1874,680
95493,1786,605
95494,1754,725
95505,1409,700
95506,961,570
95507,1050,380
95508,1014,1300
95509,1442,480
95517,1525,530
95518,969,580
95554,828,650
95555,1978,0
95561,1340,1050
95564,1146,650
95586,1202,710
95587,1133,760
95589,1714,460
95590,2574,440
95603,1832,875
95604,1734,500
95619,2945,770
95623,875,710
95624,1499,700
95625,1846,1170
95628,1543,730
95644,1289,1150
95645,1198,600
95646,1447,390
95650,2179,850
95651,1030,830
95672,1771,495
95673,986,540
95674,1550,550
95678,1656,425
95679,1661,775
95703,1893,775
95704,2230,895
95716,1858,475
95717,1923,610
95718,1266,575
95727,1800,675
95728,1846,525
95736,2390,1005
95758,1356,690
95759,1485,570
95768,1649,1210
95769,1161,900
95786,1809,470
95806,872,885
95807,1550,505
95837,736,725
95838,1809,480
95859,1069,850
95860,2748,775
95861,1349,650
95862,1561,670
95881,1327,980
95882,1527,1020
95902,1323,590
95907,980,420
95915,2121,660
95916,1730,560
95927,2016,870
95928,2054,700
95930,1952,760
95931,748,420
95932,1104,1100
95940,1321,775
95941,2419,1045
95942,816,940
95949,586,640
95950,1107,620
95960,1859,1425
95976,1327,500
95977,1798,400
95978,987,390
95989,1333,450
95990,761,1020
96001,2078,500
96019,1068,760
96020,980,600
96021,1842,655
96062,1522,690
96063,1938,730
96072,1306,400
96073,1470,760
96093,1511,1150
96094,863,595
96102,1149,540
96106,1465,650
96110,1056,850
96111,1727,400
96112,2325,570
96122,2698,790
96123,1561,770
96139,1873,618
96140,1804,800
96156,922,870
96157,1221,1120
96179,1465,625
96180,1474,810
96181,812,640
96195,2313,570
96196,1432,700
96210,1539,860
96211,825,630
96212,1078,465
96213,1434,465
96214,2345,480
96215,2265,670
96242,627,1080
96243,1832,595
96244,954,620
96245,1611,670
96257,1908,870
96258,2255,1000
96270,1193,395
96291,1747,570
96301,2300,1365
96316,1213,800
96317,1574,1100
96323,1868,820
96324,2132,775
96325,1267,740
96326,1420,890
96332,2085,650
96333,1979,900
96334,930,590
96335,1083,710
96336,717,800
96337,697,930
96338,713,980
96354,2550,500
96355,1717,420
96356,1480,650
96357,1404,950
96358,1493,560
96383,1632,840
96399,1597,570
96400,766,1340
96405,2215,370
96406,838,370
96413,1237,380
96423,2161,440
96424,2012,530
96425,2326,735
96429,1402,940
96430,2237,1300
96431,2138,1270
96440,1420,1140
96441,1279,1260
96445,2356,397
96446,1625,510
96447,2103,510
96488,1507,670
96489,1505,1100
96504,1902,1050
96517,1495,790
96518,1791,880
96528,1385,600
96529,1795,670
96567,1791,650
96568,1695,730
96569,2143,660
96575,2005,1280
96576,1420,1130
96578,1159,450
96579,1578,990
96604,1334,690
96605,2084,670
96648,1674,370
96649,2614,520
96650,1829,620
96651,1766,500
96656,1295,1300
96657,2108,1020
96661,1576,390
96684,1695,390
96685,2076,385
96686,2140,760
96687,1965,1285
96699,1784,370
96700,1607,570
96732,3323,950
96733,1048,720
96754,1563,850
96755,1137,650
96756,1635,870
96757,1407,780
96758,2470,740
96766,958,580
96767,1039,650
96791,1411,830
96792,1894,1150
96793,1780,700
96794,1709,920
96795,1350,1530
96796,1611,910
96797,1731,420
96798,1437,580
96811,1035,740
96812,1390,710
96813,1009,690
96818,1739,730
96819,1003,710
96834,1968,660
96855,1770,866
96865,2265,650
96866,1448,470
96867,1744,390
96868,1503,800
96881,1149,960
96882,3158,1090
96883,1675,640
96884,2257,930
96885,839,960
96891,1803,910
96898,777,600
96917,2277,500
96922,2450,770
96923,1643,480
96940,2706,700
96941,1507,1620
96948,3009,640
96949,1835,1030
96950,1990,410
96957,1055,720
96967,2028,580
96971,2211,680
96972,2445,780
96973,1083,920
96974,1810,810
96975,1780,870
96976,1815,780
96977,2220,790
96983,1690,820
96999,1269,500
97000,920,700
97013,1199,980
97014,914,1120
97015,2309,820
97028,1635,890
97029,2594,980
97030,1622,790
97064,2287,580
97065,1642,400
97066,1961,800
97067,2354,100
97075,1517,715
97076,1760,510
97077,2183,560
97100,1446,455
97101,1270,920
97102,1926,800
97103,1080,470
97110,2027,480
97111,1165,600
97120,1421,475
97121,1626,465
97122,1683,570
97123,2134,780
97141,1406,475
97163,2338,1090
97164,1376,630
97173,1243,1020
97174,1696,550
97184,1973,660
97185,976,770
97186,1878,530
97187,1492,1010
97211,2064,425
97216,2398,545
97217,1616,420
97224,2250,480
97255,1553,760
97267,1988,1211
97294,1447,150
97303,2128,790
97304,1983,1070
97326,2642,600
97327,1953,910
97328,1803,850
97329,1912,850
97336,1627,560
97337,703,760
97338,1711,955
97339,605,710
97355,2222,610
97399,1202,1090
97400,2713,850
97415,891,430
97416,1625,200
97437,1698,470
97438,626,940
97439,2276,650
97440,1961,580
97442,1797,405
97456,779,610
97457,2360,710
97466,2341,420
97467,1485,760
97479,1966,480
97480,1420,450
97494,1886,730
97495,1765,760
97498,2232,840
97499,1584,1380
97508,2044,820
97509,1864,490
97510,1844,445
97525,2662,685
97526,2057,550
97531,1653,477
97532,2256,550
97533,1254,700
97534,1352,700
97535,1895,870
97536,1576,870
97548,1617,800
97558,2087,520
97559,1478,750
97560,1687,720
97561,1513,520
97566,1931,1020
97567,1361,1100
97580,2467,700
97595,1330,840
97596,1173,1150
97604,940,600
97605,587,900
97613,2535,1270
97627,2220,680
97628,1920,390
97629,2014,450
97638,796,940
97641,3351,1080
