HeatNo,LFVD_AlloyWeight,LFVD_NonMetalInclusionsWeight
74041,1291,679
74044,1984,955
74074,1706,844
74075,1234,699
74079,1148,880
74083,2128,560
74089,671,626
74090,1232,1050
74094,2626,965
74101,864,840
74119,1456,470
74121,1841,455
74132,2736,550
74134,1542,575
74138,1616,410
74141,1807,890
74144,1831,1005
74171,566,966
74176,1306,655
74179,2766,885
74189,1616,890
74209,577,821
74211,721,1445
74212,1795,670
74218,1489,829
74221,1166,790
74232,905,928
74241,1784,605
74251,3533,793
74265,1559,752
74273,1517,604
74276,1032,867
74283,2686,876
74286,2166,1016
74293,407,871
74294,1273,846
74304,1176,662
74306,2117,1027
74326,1582,910
74342,2766,785
74343,1853,968
74357,1865,939
74371,1194,667
74374,1968,852
74375,2099,733
74376,2843,962
74384,984,877
74390,998,736
74392,2266,719
74413,1463,1209
74420,1840,1049
74429,2084,800
74431,1094,824
74441,2839,820
74442,680,679
74449,1468,608
74450,1180,700
74451,1920,1770
74470,1456,1072
74471,516,755
74477,1546,630
74478,503,1034
74498,2415,885
74499,1059,855
74500,1224,802
74503,2550,780
74512,1161,530
74513,625,505
74514,1391,516
74530,1442,1045
74531,811,795
74541,710,1120
74542,1269,1180
74582,1624,643
74583,811,576
74591,936,815
74592,1268,991
74593,583,635
74604,1097,650
74613,2026,805
74623,2804,679
74625,1419,575
74626,1552,855
74643,3076,1237
74673,1469,595
74677,3356,700
74678,1142,754
74687,2711,851
74695,3209,945
74696,936,665
74697,860,750
74729,1586,710
74735,1419,1035
74742,3036,590
74780,3396,490
74781,1250,449
74790,1631,530
74792,2161,867
74803,2306,1090
74809,1026,815
74810,1014,730
74811,1756,990
74846,1516,885
74848,1381,709
74849,330,746
74857,1217,854
74858,1238,615
74885,1759,650
74891,3396,845
74893,2061,810
74894,1676,1050
74898,1229,540
74899,1881,490
74909,1212,727
74910,1296,995
74911,2022,830
74915,1539,804
74916,1146,1049
74922,2765,738
74934,2616,735
74941,1246,811
74952,916,566
74953,1160,859
74954,2155,844
74992,1741,598
74993,1582,986
75000,1229,1405
75001,1910,1120
75016,1516,920
75025,1276,476
75046,656,621
75056,1539,977
75069,1502,770
75088,1536,1050
75097,1931,1100
75099,1753,1282
75118,2049,1288
75119,784,863
75120,1329,800
75137,1220,598
75139,1484,790
75148,1351,1015
75150,811,820
75161,2312,1037
75181,1729,897
75188,1876,1305
75189,1233,967
75195,2791,745
75196,1211,455
75197,1911,635
75206,2091,830
75215,2496,500
75225,1348,874
75226,1006,1057
75227,1322,825
75236,1930,841
75247,1471,873
75255,930,890
75266,1044,955
75277,2204,766
75278,2125,850
75281,2019,1035
75286,2896,841
75290,2534,642
75298,2401,1010
75299,2591,582
75309,1751,495
75310,756,565
75320,1981,1063
75321,1911,610
75322,738,385
75323,1366,426
75328,1583,744
75332,955,884
75343,1424,680
75344,1248,735
75353,1765,1035
75356,928,635
75364,3617,784
75387,3450,870
75394,1740,492
75404,1166,655
75417,1097,805
75423,2017,768
75424,1222,725
75426,779,825
75434,1935,1015
75435,1446,1115
75444,1651,1010
75446,1543,507
75464,3129,1283
75465,1429,710
75466,1258,681
75478,1956,720
75490,2657,615
75492,1914,660
75501,2295,845
75502,2351,959
75510,1092,590
75511,1381,662
75513,987,801
75541,1012,982
75542,1710,1097
75543,1632,826
75554,878,560
75557,3228,951
75576,1986,861
75577,794,809
75589,830,771
75596,2324,991
75597,2264,772
75604,718,535
75619,1636,853
75630,2099,1039
75641,1487,970
75650,1336,595
75651,673,711
75660,2144,850
75661,733,975
75663,1169,1157
75670,1201,926
75671,203,197
75679,515,614
75688,896,1151
75699,1025,1306
75700,1744,870
75702,973,736
75710,511,1142
75711,1662,1185
75721,1236,1075
75732,491,181
75741,748,839
75742,850,800
75743,1271,781
75751,1613,719
75752,1573,620
75756,898,1006
75765,475,766
75766,759,817
75783,1235,981
75784,1511,970
75798,1059,271
75820,1605,920
75821,1228,710
75822,989,560
75823,1759,574
